Ref,Codec,CRF,Comp,FileStream,PSNR_Y,PSNR_CB,PSNR_CR,SSIM,CAMBI,VMAF,BBAND,Height,Width,NumFrames,SI,TI,BBAND(Adaband)
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,H264,11,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF11_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF11_.txt,55.89349958,56.70212019,56.66273108,0.999834167,7.688701108,99.30050624,0.5895713,1080,1920,120,42.1,33.5,0.278
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,H264,1,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF1_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF1_.txt,60,60,60,0.999985475,7.613598983,99.54092023,0.5866886,1080,1920,120,42.1,33.5,0.271
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,AV1,63,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF63_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF63_.txt,34.34325343,39.41718403,38.22377406,0.922735508,5.404949458,50.04275957,0.7307632,1080,1920,120,47.7,59.9,0.533
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,AV1,51,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF51_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF51_.txt,39.04824154,43.85199638,42.84273867,0.974047542,7.676112475,82.28607918,0.6748589,1080,1920,120,47.7,59.9,0.466
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,AV1,38,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF38_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF38_.txt,42.77210675,46.52481361,45.92645569,0.991037475,6.823506967,96.50214986,0.6601695,1080,1920,120,47.7,59.9,0.443
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,AV1,26,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF26_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF26_.txt,46.37404608,48.90634381,48.56768409,0.996912508,6.223324592,98.81741385,0.6781225,1080,1920,120,47.7,59.9,0.455
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,AV1,13,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF13_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF13_.txt,49.77663453,51.1243777,50.93925098,0.998826608,6.444769458,99.41868339,0.7280187,1080,1920,120,47.7,59.9,0.48
Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,AV1,1,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF1_.yuv,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF1_.txt,58.4796516,59.02011058,58.87044935,0.9998987,5.03670705,99.8052688,0.700907,1080,1920,120,47.7,59.9,0.474
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,H264,51,FlowingRiverLowSpeedLowGran_300frames_1920x1080_H264_CRF51_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_H264_CRF51_.txt,30.586646,39.33221393,39.72156755,0.9025,5.34757921,27.98829105,1.206511,1080,1920,300,9.98,5.51,0.455
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,H265,51,FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF51_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF51_.txt,35.18777406,40.89017736,40.77100088,0.94528348,14.47555824,29.21076972,1.028145,1080,1920,300,9.98,5.51,0.457
